Year,Peak (MW),Energy (MWh),,,
2021,,391579000,,,Official ERCOT load forecast by ERCOT
2022,770651,423333034,,,
2023,792534,439714062,,,
2024,807634,452161056,,,
2025,820205,460428763,,,
2026,832599,469633641,,,
2027,842329,476838751,,,
2028,851757,484883460,,,
2029,860846,490231682,,,
2030,869603,496464393,,,
2031,878136,502356700,,,
2032,,521410681.5,,,Linear extrapolation of ERCOT load data
2033,,531227241.5,,,
2034,,541043801.4,,,
2035,,550860361.3,,,
2036,,560676921.3,,,
2037,,570493481.2,,,
2038,,580310041.1,,,
2039,,590126601,,,
2040,,599943161,,,
2041,,609759720.9,,,
2042,,619576280.8,,,
2043,,629392840.7,,,
2044,,639209400.7,,,
2045,,649025960.6,,,
2046,,658842520.5,,,
2047,,668659080.5,,,
2048,,678475640.4,,,
2049,,688292200.3,,,
2050,,698108760.2,,,
