Year,Month,Peak (MW),Energy (MWh)
2022,1,59218,33434286
2022,2,59429,29318272
2022,3,53275,30811374
2022,4,57493,30794640
2022,5,65858,35460197
2022,6,72356,39832001
2022,7,74984,42870876
2022,8,77579,43830180
2022,9,71902,37740895
2022,10,64650,34123473
2022,11,55240,31125399
2022,12,58667,33991441
2023,1,61717,35129259
2023,2,61736,30812184
2023,3,55580,32435583
2023,4,59398,32309164
2023,5,67678,36996103
2023,6,73827,41021799
2023,7,76480,44097957
2023,8,79081,45058659
2023,9,73433,38928710
2023,10,66189,35354744
2023,11,56999,32330569
2023,12,60416,35239331
2024,1,63223,36191762
2024,2,63254,32861792
2024,3,57077,33460640
2024,4,60670,33287778
2024,5,68778,37997403
2024,6,74937,41924771
2024,7,77683,45031564
2024,8,80190,45995564
2024,9,74571,39833790
2024,10,67260,36238038
2024,11,58290,33196122
2024,12,61701,36141832
2025,1,64503,37085891
2025,2,64388,32479825
2025,3,58269,34298417
2025,4,61635,34045717
2025,5,69676,38764127
2025,6,75908,42665921
2025,7,78704,45804970
2025,8,81088,46775136
2025,9,75505,40591274
2025,10,68202,37025047
2025,11,59457,33933999
2025,12,62870,36958439
2026,1,65674,37899142
2026,2,65533,33192617
2026,3,59436,35029366
2026,4,62583,34791378
2026,5,70585,39526061
2026,6,76879,43406621
2026,7,79720,46575206
2026,8,81982,47551728
2026,9,76430,41343089
2026,10,69137,37806782
2026,11,60613,34746322
2026,12,64027,37765329
2027,1,66620,38545499
2027,2,66458,33756746
2027,3,60382,35652420
2027,4,63310,35377227
2027,5,71271,40122913
2027,6,77620,43981543
2027,7,80504,47172207
2027,8,82738,48155192
2027,9,77121,41926358
2027,10,69834,38412077
2027,11,61531,35344792
2027,12,64940,38391777
2028,1,67537,39169887
2028,2,67385,35500600
2028,3,61289,36239097
2028,4,63991,35930928
2028,5,71909,40683986
2028,6,78312,44521857
2028,7,81243,47735993
2028,8,83596,48722559
2028,9,77769,42478284
2028,10,70490,38986516
2028,11,62415,35920313
2028,12,65821,38993440
2029,1,68411,39762296
2029,2,68193,34808916
2029,3,62160,36797752
2029,4,64642,36462029
2029,5,72515,41220831
2029,6,79095,45042087
2029,7,81968,48281576
2029,8,84432,49274645
2029,9,78388,43009779
2029,10,71114,39537256
2029,11,63264,36467187
2029,12,66664,39567328
2030,1,69257,40333730
2030,2,69013,35302450
2030,3,62994,37332315
2030,4,65257,36967756
2030,5,73086,41731969
2030,6,79862,45537243
2030,7,82660,48794376
2030,8,85219,49789157
2030,9,78977,43511380
2030,10,71732,40061638
2030,11,64074,36987480
2030,12,67472,40114899
2031,1,70055,40869682
2031,2,69789,35766917
2031,3,63795,37885532
2031,4,65831,37444209
2031,5,73617,42213411
2031,6,80585,46000364
2031,7,83379,49281808
2031,8,85977,50282702
2031,9,79633,43987618
2031,10,72390,40557235
2031,11,64844,37433624
2031,12,68241,40633598
