Settlement Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HB_BUSAVG,33.55895161,51.08221726,28.47135935,33.43204167,33.12014785,40.61019444,52.13646505,153.2652823,34.49868056,28.77772849,25.31373093,25.96263441
HB_HOUSTON,33.79485215,49.96046131,29.6109825,35.71743056,35.41721774,41.86852778,50.41125,152.492043,36.87195833,30.08763441,26.17434119,26.07708333
HB_HUBAVG,33.06477151,49.93278274,27.28078062,32.25418056,32.57568548,39.23841667,51.70836022,153.1103763,34.77538889,28.41771505,24.41334258,25.57454301
HB_NORTH,34.10501344,51.85626488,29.35115747,34.43141667,33.32284946,42.10994444,53.29047043,153.6040323,33.96513889,28.88729839,26.06932039,26.25520161
HB_SOUTH,33.65842742,53.38816964,30.73181696,34.90541667,34.31547043,40.30955556,48.67662634,152.2698656,34.97981944,30.12651882,26.22796117,26.42819892
HB_WEST,30.69784946,44.4955506,19.4346568,23.959375,27.22952957,32.65508333,54.43532258,154.0603898,33.28045833,24.55954301,19.1784466,23.51919355
LZ_AEN,34.50947581,50.7803125,29.89,34.63645833,33.75571237,41.47465278,49.17706989,152.2776075,35.33181944,30.38377688,26.1881276,27.79567204
LZ_CPS,34.02702957,51.77578869,30.24174966,35.33501389,35.94334677,43.61340278,49.27200269,153.8543817,36.08534722,31.54451613,26.42693481,26.65208333
LZ_HOUSTON,33.78936828,49.91709821,29.62347241,35.76955556,36.26048387,42.82490278,51.03236559,152.7763844,37.13576389,30.69615591,26.33267684,26.1421371
LZ_LCRA,34.08170699,50.07543155,30.85051144,34.56644444,34.2825,43.87680556,49.60848118,154.3314113,35.27744444,30.05971774,26.0429681,27.34388441
LZ_NORTH,34.10625,52.77842262,29.27192463,34.44554167,33.29572581,42.29343056,53.99665323,154.1678629,34.11181944,28.89448925,26.12339806,26.4375
LZ_RAYBN,34.06704301,52.27909226,29.31718708,34.38279167,33.26586022,42.53029167,53.55224462,153.9206989,33.86847222,28.85594086,26.03923717,26.31446237
LZ_SOUTH,33.79844086,61.57678571,32.45857335,34.90891667,34.46623656,40.85056944,48.90067204,152.4821102,35.54241667,31.22787634,26.54719834,26.90846774
LZ_WEST,31.37086022,46.61546131,20.53293405,25.31427778,31.59604839,38.10918056,58.28158602,157.7207258,35.09093056,26.94975806,21.71829404,28.5741129
